operator_id,total_calls,missed_in_calls,total_in_calls,total_out_calls,avg_wait_duration,missed_in_rate
879896.0,1131,50,23,105,110.671875,2.1739130434782608
879898.0,7974,100,64,187,450.0876494023904,1.5625
880026.0,2439,94,19,179,121.17171717171718,4.947368421052632
880028.0,2906,91,45,181,210.5929203539823,2.022222222222222
882684.0,1364,55,52,113,128.01818181818183,1.0576923076923077
882686.0,3931,88,71,166,291.8902953586498,1.2394366197183098
882688.0,82,3,3,8,173.0909090909091,1.0
882690.0,1766,26,24,45,591.0,1.0833333333333333
883940.0,694,20,7,36,295.3720930232558,2.857142857142857
883942.0,2327,67,42,128,183.93529411764706,1.5952380952380953
884412.0,863,51,18,110,136.09375,2.8333333333333335
884478.0,2361,44,14,79,400.4731182795699,3.142857142857143
884946.0,2042,42,7,85,482.30434782608694,6.0
885876.0,66049,135,103,216,4816.241379310345,1.3106796116504855
885890.0,66016,110,103,174,5727.13357400722,1.0679611650485437
887282.0,2452,51,21,97,299.8898305084746,2.4285714285714284
887992.0,47,3,0,6,113.33333333333333,inf
889754.0,1853,72,76,139,128.94883720930233,0.9473684210526315
890402.0,1928,82,75,163,121.63025210084034,1.0933333333333333
890404.0,2066,90,87,169,127.0703125,1.0344827586206897
890406.0,1821,83,84,159,109.06995884773663,0.9880952380952381
890410.0,1369,84,3,161,149.07926829268294,28.0
890412.0,1373,72,9,159,135.74404761904762,8.0
890416.0,1380,72,0,154,164.16883116883116,inf
890420.0,746,47,0,89,154.92134831460675,inf
890422.0,487,33,0,66,134.83333333333334,inf
891410.0,3773,131,79,211,129.10344827586206,1.6582278481012658
891746.0,37,2,0,6,154.0,inf
891970.0,21,1,0,3,101.66666666666667,inf
892028.0,1554,36,0,71,392.3380281690141,inf
892538.0,135,7,7,20,106.70370370370371,1.0
893674.0,2701,47,0,92,556.554347826087,inf
893804.0,6570,130,116,209,269.08923076923077,1.1206896551724137
894656.0,3416,72,15,147,204.7469135802469,4.8
896382.0,437,13,14,21,254.22857142857143,0.9285714285714286
896384.0,30,1,0,4,167.75,inf
896386.0,76,1,0,2,925.0,inf
896390.0,97,6,0,10,197.1,inf
896708.0,240,11,11,25,106.08333333333333,1.0
898414.0,91,3,4,4,150.625,0.75
898906.0,147,5,5,9,194.57142857142858,1.0
898920.0,79,1,2,5,199.42857142857142,0.5
899082.0,2372,79,74,150,198.78125,1.0675675675675675
899250.0,1979,79,90,152,172.06198347107437,0.8777777777777778
899788.0,655,22,0,42,298.8095238095238,inf
899790.0,731,17,0,34,466.29411764705884,inf
899932.0,779,25,0,47,309.29787234042556,inf
899964.0,470,17,0,33,286.6363636363636,inf
899968.0,407,18,0,33,242.75757575757575,inf
900180.0,1904,63,3,110,307.53097345132744,21.0
901880.0,4655,128,121,216,166.75964391691394,1.0578512396694215
901884.0,2846,115,102,246,124.14367816091954,1.1274509803921569
901886.0,1786,58,53,119,186.86046511627907,1.0943396226415094
901992.0,830,16,8,37,390.8666666666667,2.0
901996.0,29,3,1,4,124.2,3.0
902510.0,2117,50,28,103,339.6641221374046,1.7857142857142858
902532.0,1216,39,37,85,185.47540983606558,1.054054054054054
902608.0,233,10,6,17,209.47826086956522,1.6666666666666667
902720.0,2722,56,36,102,356.28985507246375,1.5555555555555556
902742.0,1232,36,0,70,357.8142857142857,inf
902744.0,3457,54,0,87,659.6321839080459,inf
902746.0,2748,50,0,82,662.4146341463414,inf
902748.0,2831,38,0,65,941.8,inf
902774.0,1126,34,0,58,482.7068965517241,inf
902776.0,1824,28,0,49,805.5510204081633,inf
902778.0,1327,30,0,53,428.9622641509434,inf
902782.0,1473,39,0,67,524.1492537313433,inf
903254.0,1845,81,75,168,131.47325102880657,1.08
903292.0,346,4,9,14,229.3913043478261,0.4444444444444444
903318.0,1646,68,63,147,133.92380952380952,1.0793650793650793
904014.0,1475,29,14,61,332.3066666666667,2.0714285714285716
904016.0,5175,56,27,101,774.9609375,2.074074074074074
904202.0,255,11,7,21,154.0,1.5714285714285714
905430.0,949,21,19,37,319.5892857142857,1.105263157894737
905432.0,971,16,6,31,513.0,2.6666666666666665
905538.0,3843,99,60,209,224.5799256505576,1.65
905542.0,2302,85,56,174,134.77826086956523,1.5178571428571428
905842.0,1253,70,2,134,133.88970588235293,35.0
905844.0,1146,58,16,120,172.65441176470588,3.625
905870.0,765,27,32,49,179.55555555555554,0.84375
906070.0,450,16,16,26,347.95238095238096,1.0
906076.0,25,1,2,1,410.0,0.5
906404.0,1272,56,50,119,152.5147928994083,1.12
906406.0,2049,81,52,166,163.09633027522935,1.5576923076923077
906408.0,370,19,30,38,121.0,0.6333333333333333
906410.0,265,10,36,14,129.66,0.2777777777777778
906866.0,655,14,0,29,360.7241379310345,inf
907174.0,2873,59,9,118,365.0551181102362,6.555555555555555
908640.0,16699,24,0,52,3456.4615384615386,inf
908834.0,25,2,4,2,149.5,0.5
908958.0,1142,33,100,56,186.37820512820514,0.33
908960.0,872,30,116,54,111.09411764705882,0.25862068965517243
908984.0,13,1,0,3,112.0,inf
909308.0,15,3,0,3,116.33333333333333,inf
909502.0,865,22,0,40,444.125,inf
910524.0,85,5,0,10,127.4,inf
910530.0,1077,15,0,29,610.6206896551724,inf
910532.0,214,7,0,21,113.80952380952381,inf
910594.0,28,1,0,2,246.0,inf
913788.0,1860,60,73,117,158.76315789473685,0.821917808219178
913938.0,5657,51,84,78,340.38271604938274,0.6071428571428571
913942.0,3109,59,90,55,279.49655172413793,0.6555555555555556
914036.0,35,3,0,5,139.6,inf
914050.0,438,25,10,44,189.77777777777777,2.5
914052.0,1468,48,0,92,268.5869565217391,inf
914240.0,56,4,0,10,100.9,inf
915504.0,33,4,0,7,109.57142857142857,inf
915556.0,2421,74,65,145,272.85238095238094,1.1384615384615384
916596.0,30,1,0,3,123.66666666666667,inf
917234.0,1225,31,5,59,327.03125,6.2
917852.0,1542,55,53,110,131.60122699386503,1.0377358490566038
918436.0,905,15,24,30,224.77777777777777,0.625
918978.0,2129,55,45,99,230.52777777777777,1.2222222222222223
918986.0,2336,47,51,100,261.34437086092714,0.9215686274509803
919126.0,291,9,0,20,274.05,inf
919128.0,388,4,0,9,455.44444444444446,inf
919162.0,2933,18,0,33,1929.3636363636363,inf
919164.0,733,8,15,9,192.54166666666666,0.5333333333333333
919166.0,1230,8,17,11,251.64285714285714,0.47058823529411764
919188.0,864,7,0,13,1453.4615384615386,inf
919190.0,85,1,2,3,270.6,0.5
919192.0,2233,19,0,34,1314.1470588235295,inf
919194.0,1565,22,0,41,842.5365853658536,inf
919196.0,2896,18,0,37,1643.4054054054054,inf
919198.0,1113,11,0,22,1006.2727272727273,inf
919200.0,1297,15,0,27,1048.5555555555557,inf
919202.0,2853,20,0,42,1445.1190476190477,inf
919204.0,1318,8,18,7,420.72,0.4444444444444444
919206.0,1000,9,22,1,345.9130434782609,0.4090909090909091
919218.0,325,20,10,38,126.95833333333333,2.0
919302.0,2528,19,0,36,1835.0277777777778,inf
919306.0,1664,16,0,29,1323.7586206896551,inf
919310.0,2569,25,0,50,1123.84,inf
919314.0,2794,18,0,33,1898.2121212121212,inf
919318.0,1846,16,0,31,1162.0645161290322,inf
919362.0,2546,17,0,31,1999.7096774193549,inf
919364.0,5096,23,0,43,2841.4651162790697,inf
919370.0,1324,12,0,24,1208.5833333333333,inf
919372.0,1627,13,0,27,1447.7777777777778,inf
919374.0,2214,14,0,31,1719.0967741935483,inf
919376.0,1415,12,0,25,1139.36,inf
919378.0,1227,9,0,18,1385.111111111111,inf
919382.0,1827,15,0,27,1259.148148148148,inf
919390.0,831,9,0,17,857.7058823529412,inf
919456.0,1517,14,0,29,1043.5172413793102,inf
919464.0,1296,12,0,26,997.1923076923077,inf
919476.0,2105,17,0,31,1463.3548387096773,inf
919482.0,1549,13,0,25,1309.2,inf
919490.0,1803,12,0,27,1308.0,inf
919504.0,2214,14,0,27,1882.888888888889,inf
919906.0,1710,22,0,39,1021.1025641025641,inf
919910.0,377,14,0,28,267.25,inf
920414.0,1266,10,0,20,1264.35,inf
920416.0,1697,14,0,30,814.0,inf
921306.0,1067,43,52,84,178.875,0.8269230769230769
921318.0,5349,69,60,106,479.2590361445783,1.15
921320.0,397,23,22,47,131.44927536231884,1.0454545454545454
921574.0,1778,14,0,26,1557.2307692307693,inf
921584.0,1346,16,0,30,880.7,inf
921592.0,1805,14,0,27,1509.7407407407406,inf
921594.0,1145,9,0,19,1223.0526315789473,inf
921596.0,1502,12,0,25,1306.24,inf
921818.0,4310,84,76,139,274.6139534883721,1.105263157894737
922142.0,792,60,0,113,165.55752212389382,inf
922710.0,1784,13,0,26,1431.576923076923,inf
923526.0,3054,70,71,136,212.39613526570048,0.9859154929577465
923528.0,802,42,50,82,114.32575757575758,0.84
923666.0,2074,20,0,38,1094.078947368421,inf
924934.0,626,50,3,107,102.9,16.666666666666668
925104.0,2286,64,61,125,171.6451612903226,1.0491803278688525
925134.0,44,1,0,2,435.0,inf
925922.0,22210,33,29,50,5907.443037974684,1.1379310344827587
926486.0,2626,50,13,101,517.6315789473684,3.8461538461538463
927916.0,635,23,20,49,126.5072463768116,1.15
928228.0,69,4,0,6,159.83333333333334,inf
928312.0,1975,45,15,86,231.9108910891089,3.0
928518.0,337,4,0,7,1106.5714285714287,inf
928886.0,833,39,29,77,163.71698113207546,1.3448275862068966
928888.0,1008,46,40,84,148.55645161290323,1.15
929424.0,5438,45,55,84,464.33093525179856,0.8181818181818182
929426.0,12041,35,0,68,3316.5588235294117,inf
929428.0,24572,35,0,70,5325.342857142857,inf
930020.0,691,46,31,77,126.18518518518519,1.4838709677419355
930912.0,246,9,0,20,177.1,inf
931458.0,4690,57,55,96,531.0993377483444,1.0363636363636364
932050.0,145,6,0,13,202.6153846153846,inf
932498.0,342,10,1,17,396.3888888888889,10.0
932500.0,1198,22,7,45,352.8076923076923,3.142857142857143
932502.0,761,16,5,31,397.75,3.2
933070.0,849,6,6,10,849.5,1.0
933244.0,86,5,2,8,157.4,2.5
933806.0,391,24,0,49,147.9795918367347,inf
933810.0,108,8,0,18,109.77777777777777,inf
934426.0,222,2,0,5,1062.2,inf
935264.0,70,3,2,7,118.77777777777777,1.5
936382.0,485,21,1,45,180.3913043478261,21.0
937372.0,1282,12,0,25,850.24,inf
937650.0,91,5,0,6,277.1666666666667,inf
937708.0,955,32,34,68,208.4313725490196,0.9411764705882353
937736.0,1589,34,36,62,353.3979591836735,0.9444444444444444
937752.0,2253,32,43,66,353.9908256880734,0.7441860465116279
937760.0,1113,32,41,64,183.66666666666666,0.7804878048780488
937774.0,316,10,12,21,179.24242424242425,0.8333333333333334
937780.0,1132,38,39,70,242.55045871559633,0.9743589743589743
937788.0,669,28,29,62,133.71428571428572,0.9655172413793104
937808.0,1067,33,33,65,251.69387755102042,1.0
937854.0,806,37,35,72,137.6822429906542,1.0571428571428572
937860.0,1771,26,41,49,392.75555555555553,0.6341463414634146
937862.0,501,31,30,61,118.02197802197803,1.0333333333333334
937874.0,172,6,7,11,240.05555555555554,0.8571428571428571
937888.0,1233,32,38,64,273.02941176470586,0.8421052631578947
937898.0,47,2,2,4,139.33333333333334,1.0
937902.0,1216,36,31,66,284.4020618556701,1.1612903225806452
937966.0,1130,36,36,65,193.1881188118812,1.0
937988.0,365,25,29,44,128.2054794520548,0.8620689655172413
938022.0,280,6,6,11,316.29411764705884,1.0
938070.0,671,4,0,8,1745.25,inf
938072.0,494,4,0,9,1017.8888888888889,inf
938074.0,664,5,0,11,1276.5454545454545,inf
938078.0,856,7,0,13,1566.3076923076924,inf
938080.0,742,5,0,9,1876.2222222222222,inf
938842.0,113,7,0,15,125.2,inf
938896.0,3617,56,55,95,395.53333333333336,1.018181818181818
939218.0,388,25,9,54,140.3015873015873,2.7777777777777777
939222.0,980,34,22,65,242.367816091954,1.5454545454545454
939224.0,1551,32,17,63,226.825,1.8823529411764706
939370.0,1020,18,47,30,245.9090909090909,0.3829787234042553
939376.0,1479,35,32,70,262.95098039215685,1.09375
939470.0,748,14,7,23,454.26666666666665,2.0
939474.0,820,27,22,47,191.2753623188406,1.2272727272727273
939476.0,931,18,8,33,460.219512195122,2.25
939706.0,1680,22,38,36,327.5810810810811,0.5789473684210527
